epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.792,0.2893,2.58264,0.9275,0.78398,0.2393,0.35725,0.33955,0.30332,3.12595,0.92078,0.000359441,0.000359441,0.000359441
2,269.649,0.29457,1.81217,0.90205,0.62078,0.43257,0.46247,0.41902,0.39819,2.79909,0.95012,0.000715325,0.000715325,0.000715325
3,383.753,0.29018,1.67652,0.90303,0.64215,0.69248,0.55236,0.51689,0.33618,2.18637,0.89366,0.00105654,0.00105654,0.00105654
4,498.509,0.30118,1.48074,0.89794,0.57567,0.55315,0.44534,0.40503,0.31553,3.53366,0.89525,0.00104501,0.00104501,0.00104501
5,613.318,0.29142,1.35091,0.89966,0.78916,0.56186,0.63132,0.6063,0.29136,1.87663,0.87889,0.00102301,0.00102301,0.00102301
6,726.437,0.27904,1.25518,0.885,0.78355,0.52958,0.65459,0.60282,0.36165,2.09957,0.9372,0.00100101,0.00100101,0.00100101
7,839.385,0.26624,1.19742,0.87913,0.49105,0.76682,0.6851,0.66192,0.26126,1.40488,0.84387,0.000979013,0.000979013,0.000979013
8,952.237,0.27842,1.1926,0.88901,0.39488,0.70951,0.50361,0.48903,0.23109,2.01311,0.83336,0.000957015,0.000957015,0.000957015
9,1066.1,0.24767,1.06865,0.87604,0.7756,0.58233,0.67581,0.66212,0.21941,1.37736,0.83226,0.000935018,0.000935018,0.000935018
10,1213.1,0.24373,1.06215,0.87601,0.50318,0.88591,0.70312,0.69458,0.19646,1.22388,0.82019,0.00091302,0.00091302,0.00091302
11,1378.67,0.22808,0.98125,0.87821,0.49591,0.83209,0.68063,0.65976,0.21873,1.1816,0.82862,0.000891022,0.000891022,0.000891022
12,2005.7,0.2301,1.02587,0.87187,0.48028,0.86418,0.65267,0.64184,0.18208,1.10092,0.80478,0.000869024,0.000869024,0.000869024
