epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,496.252,0.27704,1.97389,0.91684,0.53521,0.66387,0.65069,0.6241,0.28205,1.99929,0.87707,0.000413165,0.000413165,0.000413165
2,946.539,0.28646,1.32755,0.895,0.73375,0.61501,0.60449,0.561,0.34665,1.79946,0.93679,0.000821617,0.000821617,0.000821617
3,1423.28,0.28422,1.16588,0.89367,0.43881,0.7581,0.60939,0.54888,0.3192,2.12859,0.90442,0.00122182,0.00122182,0.00122182
4,1885.05,0.27259,1.07077,0.89225,0.79599,0.68573,0.65107,0.63186,0.2503,0.96924,0.85694,0.00121287,0.00121287,0.00121287
5,2448.8,0.26148,0.95848,0.88515,0.54256,0.80914,0.6744,0.66571,0.21672,0.83556,0.82831,0.0012005,0.0012005,0.0012005
6,3045.47,0.24396,0.93176,0.88343,0.50926,0.78071,0.69267,0.68094,0.22204,0.75856,0.84029,0.00118812,0.00118812,0.00118812
7,3510.3,0.24055,0.84409,0.88147,0.50128,0.77297,0.6579,0.64031,0.25665,0.82451,0.84609,0.00117575,0.00117575,0.00117575
8,3997.27,0.23371,0.8389,0.87935,0.54145,0.78802,0.71314,0.70974,0.1764,0.76725,0.80027,0.00116337,0.00116337,0.00116337
9,4478.93,0.21891,0.82174,0.87255,0.56257,0.81881,0.72316,0.71731,0.17026,0.62101,0.80585,0.001151,0.001151,0.001151
10,4960.29,0.21908,0.79686,0.87925,0.63848,0.77905,0.73967,0.73677,0.17084,0.66954,0.7978,0.00113863,0.00113863,0.00113863
11,5442.57,0.21526,0.79543,0.87193,0.59105,0.78517,0.72024,0.7018,0.18033,0.6139,0.81052,0.00112625,0.00112625,0.00112625
12,5925.49,0.20174,0.77406,0.86963,0.62935,0.84496,0.77608,0.77277,0.17218,0.53081,0.79886,0.00111388,0.00111388,0.00111388
13,6407.41,0.20094,0.7529,0.86881,0.70457,0.71911,0.73195,0.72927,0.15671,0.60898,0.78997,0.0011015,0.0011015,0.0011015
14,6870.9,0.19497,0.73453,0.86848,0.62807,0.83373,0.73719,0.72811,0.16903,0.55965,0.79396,0.00108913,0.00108913,0.00108913
15,7355.04,0.1984,0.73355,0.87016,0.57866,0.77568,0.68891,0.68627,0.17653,0.79868,0.80027,0.00107675,0.00107675,0.00107675
16,7801.79,0.18465,0.71697,0.86469,0.70651,0.78701,0.7644,0.76325,0.16627,0.52399,0.79592,0.00106437,0.00106437,0.00106437
17,8198.97,0.18474,0.71921,0.86539,0.57872,0.77142,0.70943,0.70657,0.14862,0.63968,0.78834,0.001052,0.001052,0.001052
18,8614.94,0.18402,0.69604,0.86636,0.65815,0.86643,0.78338,0.7812,0.14336,0.50389,0.78213,0.00103962,0.00103962,0.00103962
19,9072.11,0.18322,0.71159,0.86747,0.62389,0.85455,0.76999,0.7681,0.13452,0.51555,0.7809,0.00102725,0.00102725,0.00102725
20,9468.59,0.17793,0.69306,0.86328,0.64086,0.81029,0.73746,0.7348,0.1382,0.50107,0.78199,0.00101488,0.00101488,0.00101488
21,9864.55,0.17689,0.68817,0.86367,0.69607,0.74471,0.7519,0.75018,0.12627,0.57947,0.77558,0.0010025,0.0010025,0.0010025
22,10262.1,0.17332,0.71066,0.86321,0.61696,0.81521,0.76637,0.76251,0.15229,0.52608,0.79055,0.000990125,0.000990125,0.000990125
23,10659.1,0.1789,0.68313,0.86503,0.68123,0.77991,0.76263,0.76123,0.13797,0.5405,0.7803,0.00097775,0.00097775,0.00097775
24,11054.7,0.17864,0.69029,0.86471,0.60063,0.79972,0.74502,0.74261,0.13786,0.50636,0.78639,0.000965375,0.000965375,0.000965375
25,11449.4,0.16816,0.66579,0.86568,0.59789,0.85101,0.73877,0.73591,0.14561,0.50237,0.79088,0.000953,0.000953,0.000953
26,11844.1,0.17357,0.66852,0.86004,0.68103,0.77378,0.76837,0.7672,0.13958,0.49175,0.77995,0.000940625,0.000940625,0.000940625
27,12340.5,0.16474,0.67795,0.85907,0.66146,0.87401,0.79524,0.79412,0.12076,0.44949,0.77344,0.00092825,0.00092825,0.00092825
28,12789.8,0.16335,0.64836,0.85784,0.71581,0.79791,0.77551,0.77361,0.1236,0.46563,0.77773,0.000915875,0.000915875,0.000915875
29,13184.7,0.16196,0.65664,0.85904,0.6504,0.83451,0.77064,0.76825,0.14011,0.46604,0.7869,0.0009035,0.0009035,0.0009035
30,13578.4,0.16731,0.67953,0.86241,0.73683,0.75306,0.79495,0.79337,0.1276,0.51918,0.77413,0.000891125,0.000891125,0.000891125
31,13974.2,0.16644,0.67733,0.85952,0.69393,0.79176,0.76762,0.76631,0.13144,0.51099,0.77564,0.00087875,0.00087875,0.00087875
32,14369.7,0.15829,0.66372,0.85976,0.65809,0.82004,0.76791,0.7653,0.13873,0.48463,0.78197,0.000866375,0.000866375,0.000866375
33,14764,0.15785,0.65531,0.85474,0.71933,0.81932,0.80272,0.80219,0.11141,0.44289,0.76875,0.000854,0.000854,0.000854
34,15159.5,0.15771,0.63507,0.86058,0.68018,0.82502,0.80508,0.80388,0.12543,0.4224,0.77613,0.000841625,0.000841625,0.000841625
35,15554.3,0.15139,0.62106,0.8582,0.64453,0.85263,0.76681,0.76562,0.1231,0.4663,0.77591,0.00082925,0.00082925,0.00082925
36,15947.1,0.14795,0.62355,0.86133,0.71307,0.79036,0.78695,0.78627,0.11212,0.43544,0.77004,0.000816875,0.000816875,0.000816875
37,16340.6,0.14694,0.60849,0.85834,0.72466,0.82308,0.79589,0.79479,0.12309,0.4329,0.77465,0.0008045,0.0008045,0.0008045
38,16733.5,0.15049,0.62865,0.86235,0.69635,0.80715,0.76345,0.75958,0.12088,0.47677,0.77763,0.000792125,0.000792125,0.000792125
39,17127.9,0.15116,0.61446,0.85778,0.69942,0.79304,0.79015,0.78973,0.11436,0.42657,0.76977,0.00077975,0.00077975,0.00077975
40,17522.3,0.14904,0.61664,0.85866,0.66983,0.80477,0.75782,0.75738,0.1227,0.47631,0.77492,0.000767375,0.000767375,0.000767375
41,17916.1,0.14354,0.62022,0.85881,0.69375,0.79726,0.78536,0.77984,0.14022,0.54194,0.79042,0.000755,0.000755,0.000755
42,18309.2,0.14416,0.63449,0.85996,0.69112,0.79713,0.76667,0.76516,0.11101,0.48468,0.77009,0.000742625,0.000742625,0.000742625
43,18702.7,0.14722,0.63495,0.86057,0.71713,0.84978,0.78803,0.78485,0.11799,0.46303,0.77583,0.00073025,0.00073025,0.00073025
44,19095.4,0.14911,0.60382,0.85979,0.6961,0.84241,0.80232,0.80142,0.10694,0.43079,0.76705,0.000717875,0.000717875,0.000717875
45,19489.1,0.14471,0.60566,0.85737,0.70437,0.83125,0.78896,0.78871,0.10943,0.43217,0.76964,0.0007055,0.0007055,0.0007055
46,19881.4,0.13841,0.59984,0.85697,0.71324,0.83283,0.78973,0.78887,0.09829,0.46162,0.76474,0.000693125,0.000693125,0.000693125
47,20274.4,0.13777,0.59791,0.85675,0.72163,0.81898,0.81078,0.81008,0.11539,0.44662,0.77179,0.00068075,0.00068075,0.00068075
48,20667.8,0.13597,0.60609,0.85756,0.69507,0.86912,0.80745,0.80709,0.0986,0.43295,0.76665,0.000668375,0.000668375,0.000668375
49,21061.2,0.13571,0.60186,0.85102,0.66998,0.87877,0.79347,0.79319,0.11144,0.4841,0.76968,0.000656,0.000656,0.000656
50,21455.2,0.13905,0.60387,0.85617,0.67753,0.82392,0.77733,0.77695,0.10503,0.41434,0.76748,0.000643625,0.000643625,0.000643625
51,21850.1,0.1353,0.5797,0.85713,0.81192,0.70637,0.80919,0.80875,0.10069,0.44618,0.76601,0.00063125,0.00063125,0.00063125
52,22241.6,0.1326,0.58265,0.85366,0.77237,0.76726,0.79056,0.78921,0.10186,0.41734,0.76588,0.000618875,0.000618875,0.000618875
53,22633.6,0.13268,0.59326,0.85728,0.71386,0.81719,0.78028,0.77991,0.10043,0.47836,0.76467,0.0006065,0.0006065,0.0006065
54,23026.8,0.12749,0.56914,0.85399,0.66132,0.83475,0.78102,0.78032,0.0931,0.52819,0.76446,0.000594125,0.000594125,0.000594125
55,23419.8,0.12885,0.5892,0.85429,0.70587,0.81912,0.78058,0.78042,0.10145,0.43419,0.76685,0.00058175,0.00058175,0.00058175
56,23813.6,0.1271,0.57475,0.857,0.78906,0.79999,0.82462,0.82333,0.09025,0.39918,0.76299,0.000569375,0.000569375,0.000569375
